,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1000,-1.96934,1.92728,0.19961,0.36170,False,Hamstrings,1.52488,1.63858,1.61380,0.66358
1001,0.76599,1.82351,-0.15049,0.45291,False,Hamstrings,0.18141,-2.48796,1.61380,0.66358
1002,-1.62278,-1.69342,0.21061,0.23780,True,Ear Lobe,2.69789,5.30066,2.20775,0.36575
1003,5.26157,-1.56529,-0.12989,0.39407,True,Ear Lobe,0.69949,-3.30088,2.20775,0.36575
1004,-0.09203,2.31266,0.19674,0.44367,False,Hamstrings,1.84882,1.44568,-1.79356,0.83892
1005,-2.83241,1.48368,-0.00054,0.47172,False,Hamstrings,3.33907,2.18231,-1.51542,1.43635
1006,-3.21931,1.52701,0.14208,0.40398,False,Hamstrings,0.04293,-0.17560,2.04997,0.94985
1007,-1.56600,3.50500,-0.04141,0.11151,False,Hamstrings,-1.06172,1.34441,1.07633,3.26839
1008,0.47170,-0.10755,0.21325,0.52974,True,Deltoids,6.81536,2.42186,1.07633,3.26839
1009,2.39605,-2.97383,-0.00267,0.20778,True,Ear Lobe,0.32126,0.23870,1.07633,3.26839
1010,0.20866,-0.63832,0.04149,0.50019,True,Ear Lobe,5.79983,0.69451,4.23410,2.97556
1011,0.47382,0.39283,0.09746,0.70589,True,Hamstrings,5.30273,1.67369,4.23410,2.97556
1012,-0.32262,-0.31957,-0.11064,0.49183,True,Ear Lobe,3.44566,0.37556,4.23410,2.97556
1013,-0.85089,2.70580,0.00906,0.39995,False,Hamstrings,1.08585,-1.54015,4.23410,2.97556
1014,-2.55290,-4.77926,-0.02002,0.56458,True,Ear Lobe,4.18794,4.86328,-1.64120,2.55603
1015,0.55399,-2.27739,0.35183,0.45316,True,Ear Lobe,-1.76903,3.41330,-2.16422,0.68136
1016,1.05780,0.98141,0.04301,0.69871,False,Hamstrings,0.98562,1.87812,-2.16422,0.68136
1017,-0.24074,-0.31475,0.17760,0.20820,True,Ear Lobe,5.06447,3.43754,-1.00696,-0.65733
1018,0.39787,-2.87256,0.15130,0.48301,True,Ear Lobe,1.87335,4.15241,-2.49987,0.61134
1019,-2.98735,0.46705,0.18311,0.16555,False,Glutes,1.12026,3.37567,3.73726,1.79306
1020,-1.94451,-1.32007,0.24088,0.62436,True,Ear Lobe,-2.93450,-3.99730,3.73726,1.79306
1021,-1.57198,1.15866,0.15349,0.58091,False,Hamstrings,3.55591,-0.45519,3.73726,1.79306
1022,-0.05710,-4.19925,0.06359,0.53932,True,Ear Lobe,0.09228,0.89690,0.88005,-1.11438
1023,1.43347,-0.05945,0.16854,0.50327,True,Deltoids,4.34880,3.88887,-0.43025,0.59042
1024,-0.15379,1.32058,0.18157,0.78734,False,Hamstrings,3.24559,0.81364,-0.43025,0.59042
1025,-4.74687,0.83906,0.28160,0.57992,False,Hamstrings,3.55701,0.32207,-0.43025,0.59042
1026,-3.14373,5.03223,0.15754,0.22024,False,Hamstrings,2.23848,3.01152,3.96832,1.57170
1027,1.39842,-0.84647,0.20718,0.39398,True,Ear Lobe,1.62096,0.24764,3.96832,1.57170
1028,-2.11944,-0.97804,0.13007,0.13601,True,Ear Lobe,5.57323,4.45165,1.58386,2.73340
1029,-1.81301,1.45205,-0.01778,0.15172,False,Hamstrings,-0.27871,0.15678,-2.72727,1.59263
1030,-1.20549,-3.09598,0.09706,0.56033,True,Ear Lobe,1.72908,-0.13778,-2.72727,1.59263
1031,2.15126,-0.18508,0.10495,0.51311,True,Tongue,5.41687,-0.10934,1.96086,-0.17256
1032,0.44673,-2.74085,-0.11032,0.23656,True,Ear Lobe,-0.48560,1.89067,-2.45609,1.93031
1033,2.67625,-2.62385,0.06474,0.08867,True,Ear Lobe,-0.43438,7.00772,-0.84948,-1.70908
1034,-0.52209,-2.32949,0.23519,0.25385,True,Ear Lobe,-1.34366,-0.09770,1.34344,0.20041
1035,-1.10365,2.27953,0.00459,0.17812,False,Hamstrings,2.93822,-1.40846,1.34344,0.20041
1036,-3.69643,0.42065,0.29391,0.48811,True,Hamstrings,2.41998,-2.36579,1.34344,0.20041
1037,-6.02049,2.45526,0.14147,0.46429,False,Hamstrings,-1.34491,3.87329,-1.42818,0.72583
1038,1.62274,1.23152,0.12489,0.49092,False,Hamstrings,-0.45871,-0.97606,-1.42818,0.72583
1039,-1.77141,0.62295,0.05244,0.43179,False,Hamstrings,1.95544,4.27694,0.53315,1.36558
1040,2.78864,-2.84013,0.31483,0.35644,True,Ear Lobe,2.91021,-0.16098,0.11060,2.42256
1041,-2.72378,-2.19772,-0.02350,0.45936,True,Ear Lobe,3.40147,7.14590,0.38642,1.58470
1042,-1.53201,2.80003,0.15497,0.67112,False,Hamstrings,3.58355,-2.39824,0.38642,1.58470
1043,-2.26415,0.21267,0.12086,0.24932,True,Pectorials,1.44795,1.83142,-2.83116,2.03286
1044,0.43171,-2.58058,0.08637,0.22104,True,Ear Lobe,3.14087,-0.04168,-0.94059,0.37945
1045,-0.14581,0.65418,0.16923,0.50010,False,Hamstrings,1.83282,1.88369,-2.08769,1.81579
1046,1.13198,1.37191,0.19726,0.47199,False,Hamstrings,1.44263,1.52114,-2.08769,1.81579
1047,-1.01641,2.27795,0.05834,0.28357,False,Hamstrings,-0.64197,1.08017,-2.08769,1.81579
1048,0.86923,0.26142,0.29866,0.45850,True,Hamstrings,1.35874,0.52333,-2.08769,1.81579
1049,0.72758,-2.98164,0.16245,0.33508,True,Ear Lobe,-0.88687,2.04801,-1.65125,0.25725
1050,3.18807,1.47139,-0.01866,0.50099,False,Hamstrings,0.15602,-0.59799,1.12759,0.09521
1051,-0.15467,2.41021,0.30827,0.41460,False,Hamstrings,0.97206,1.24474,-4.51697,-0.76737
1052,0.85736,-0.73172,0.07504,0.60307,True,Ear Lobe,4.96545,-0.71202,1.73529,2.27922
1053,1.66644,-0.50160,0.07517,0.34489,True,Ear Lobe,2.24308,-3.43765,-0.84493,2.10835
1054,-0.55554,-1.08885,0.09839,0.36299,True,Ear Lobe,3.48878,1.75944,-1.70571,1.92135
1055,1.14480,-2.78593,0.18489,0.36430,True,Ear Lobe,3.10117,0.11433,-3.68733,1.26044
1056,4.56973,-0.84786,0.24264,0.38375,True,Ear Lobe,-2.10863,0.51746,0.32663,0.15735
1057,-4.49253,0.27885,0.24528,0.36859,True,Glutes,2.36989,3.07265,-0.72582,1.10907
1058,-3.15497,-1.13064,0.13021,0.47623,True,Ear Lobe,0.60838,1.64070,-0.72582,1.10907
1059,2.00323,-1.27498,0.15963,0.35329,True,Ear Lobe,3.04547,-2.23139,-0.72582,1.10907
1060,-0.21924,1.88454,0.13951,0.13610,False,Hamstrings,-0.59100,3.04005,0.71783,2.50284
1061,2.29459,-0.59346,0.15434,0.36923,True,Ear Lobe,5.18608,1.77413,2.78137,2.82730
1062,-1.93251,-1.15130,0.10770,0.14973,True,Ear Lobe,3.98781,3.63745,-2.75897,1.00905
1063,-2.46376,-1.12403,0.22999,0.53103,True,Ear Lobe,0.67198,2.87960,-2.75897,1.00905
1064,1.71897,0.26350,0.15413,0.42652,True,Glutes,-2.80527,0.20816,-2.17199,1.46278
1065,5.46297,-3.41873,0.14281,0.55814,True,Ear Lobe,2.18931,0.92704,-2.17199,1.46278
1066,0.25813,1.25221,0.05680,0.63508,False,Hamstrings,2.69172,0.93456,1.60600,0.50947
1067,-1.10446,0.48383,0.07466,0.68253,True,Hamstrings,6.47206,4.38217,2.88248,0.83214
1068,1.14096,1.60007,0.21098,0.40158,False,Hamstrings,0.72852,4.74590,-2.62206,0.76943
1069,-1.52602,1.32525,-0.01553,0.57590,False,Hamstrings,1.11335,1.46812,2.53715,-0.04185
1070,2.22908,-0.35266,-0.03276,0.50660,True,Ear Lobe,-0.18555,1.41632,2.90867,3.15921
1071,-1.81647,-2.73347,0.02295,0.41883,True,Ear Lobe,0.70383,1.18033,2.90867,3.15921
1072,-0.66976,0.31410,0.29522,0.59286,True,Hamstrings,0.92341,1.18648,-1.82161,0.50125
1073,1.62847,2.02025,0.24430,0.58128,False,Hamstrings,-0.47214,5.65375,-1.75729,1.93122
1074,-1.05169,-0.63101,0.29516,0.51494,True,Ear Lobe,0.40017,1.54096,-4.29259,-1.14735
1075,-2.70123,-0.01089,-0.04834,0.18725,True,Ear Lobe,3.35542,-1.05132,-4.29259,-1.14735
1076,-0.45357,1.98079,0.17801,0.36387,False,Hamstrings,-1.18639,1.61033,-1.19737,1.38755
1077,-1.52508,2.86022,0.16852,0.47231,False,Hamstrings,0.55243,3.11214,2.98217,4.75465
1078,-1.06527,1.12880,0.05319,0.64028,False,Hamstrings,3.91105,1.52170,0.25745,0.51784
1079,2.92314,0.38594,0.31535,0.44050,True,Hamstrings,-0.66810,2.78375,-4.62091,2.66137
1080,-0.88369,-2.94528,0.27917,0.65188,True,Ear Lobe,0.91930,6.51501,-3.09377,1.34238
1081,-0.20208,0.23684,0.07518,0.66571,True,Hamstrings,3.33181,0.14769,-3.09377,1.34238
1082,-2.12449,-0.39740,-0.13818,0.27067,True,Ear Lobe,-0.79853,2.04232,-3.09377,1.34238
1083,-1.47819,0.99224,0.15115,0.29108,False,Hamstrings,-1.21198,0.41876,4.30252,1.81989
1084,1.25252,1.52025,0.06663,0.52311,False,Hamstrings,3.34565,1.78250,2.19228,0.41426
1085,-0.89888,1.98191,0.07881,0.55234,False,Hamstrings,4.38612,0.42474,2.19228,0.41426
1086,-3.16286,0.73036,0.25118,0.59378,False,Hamstrings,-1.54246,3.35480,-0.42219,1.73857
1087,-0.53732,-0.09565,0.07248,0.30053,True,Ear Lobe,1.44629,-1.38968,-0.42219,1.73857
1088,-2.92547,4.68973,0.26602,0.52839,False,Hamstrings,2.71358,0.98306,-2.95226,2.19475
1089,-1.15512,0.19795,-0.18308,0.42339,True,Tongue,3.44722,-0.87010,-2.95226,2.19475
1090,-0.21286,-0.06875,0.11051,0.24068,True,Ear Lobe,2.98687,0.99830,2.27381,0.58530
